Read Date Time,Well Flow (cfs),Purchased Flow (cfs),Transported Flow (cfs),Treated Flow (cfs),Injected Flow (cfs),Reservoir Trend (cfs)
1/1/20 12:59 AM,25.850186,27.852833,0,14.432771,0,-2.415682
1/1/20 1:59 AM,25.830318,27.660552,0,11.938562,0,8.680252
1/1/20 2:59 AM,25.833766,27.617464,0,14.434514,0,17.230239
1/1/20 3:59 AM,25.777429,27.453049,0,14.416351,0,13.642178
1/1/20 4:59 AM,25.77611,27.532957,0,12.109378,0,19.484317
1/1/20 5:59 AM,25.788294,23.682967,0,14.403066,0,19.217513
1/1/20 6:59 AM,25.803952,26.283608,0,14.383113,0,17.475135
1/1/20 7:59 AM,25.849956,27.566208,0,12.198083,0,16.815458
1/1/20 8:59 AM,25.849254,30.871916,0,14.366935,0,20.258884
1/1/20 9:59 AM,19.538185,32.026135,0,14.233024,0,3.526382
1/1/20 10:59 AM,18.165996,32.163942,0,12.551911,0,0.098886
1/1/20 11:59 AM,18.199283,32.090604,0,14.644098,0,-7.047566
1/1/20 12:59 PM,18.154562,32.182757,0,13.288813,0,-14.629075
1/1/20 1:59 PM,18.210234,32.116812,0,14.243164,0,-11.87299
1/1/20 2:59 PM,18.20376,32.025143,0,14.99121,0,-4.013203
1/1/20 3:59 PM,18.213114,31.971056,0,12.26479,0,-9.733135
1/1/20 4:59 PM,18.210391,31.988964,0,14.634732,0,-3.404213
1/1/20 5:59 PM,18.241282,27.537362,0,14.57975,0,-1.571712
1/1/20 6:59 PM,18.258477,25.121197,0,12.886427,0,-9.055894
1/1/20 7:59 PM,18.302871,26.007038,0,13.201306,0,-5.909462
1/1/20 8:59 PM,18.260921,25.729089,0,14.569078,0,-8.009695
1/1/20 9:59 PM,18.285411,25.723148,0,12.721057,0,2.254115
1/1/20 10:59 PM,18.217796,25.416123,0,13.924353,0,1.354519
1/1/20 11:59 PM,18.182597,25.156299,0,14.49338,0,-3.95702
1/2/20 12:59 AM,18.155748,24.947344,0,11.756142,0,-10.151369
1/2/20 1:59 AM,18.110276,24.820294,0,13.75868,0,-0.867995
1/2/20 2:59 AM,18.104093,24.827216,0,14.502745,0,1.85972
1/2/20 3:59 AM,18.120537,24.693123,0,12.367386,0,3.963369
1/2/20 4:59 AM,18.114535,24.68573,0,13.602989,0,2.541899
1/2/20 5:59 AM,18.151755,24.958501,0,14.474456,0,5.611131
1/2/20 6:59 AM,18.201002,25.218881,0,12.095995,0,-9.066552
1/2/20 7:59 AM,18.229945,25.487355,0,14.48445,0,-7.559711
1/2/20 8:59 AM,18.276385,25.567917,0,14.705856,0,-6.570586
1/2/20 9:59 AM,18.290045,32.436059,0,12.296456,0,-10.728275
1/2/20 10:59 AM,18.269379,38.316489,0,14.692062,0,-6.372888
1/2/20 11:59 AM,18.260957,37.900927,0,14.689001,0,-12.281681
1/2/20 12:59 PM,18.269596,37.779479,0,12.454566,0,-19.414766
1/2/20 1:59 PM,18.291183,38.012416,0,14.706679,0,-23.589165
1/2/20 2:59 PM,22.246879,33.583139,0,13.343118,0,-9.149953
1/2/20 3:59 PM,26.089851,23.932651,0,14.265065,0,-11.95888
1/2/20 4:59 PM,26.054373,23.867698,0,13.365999,0,-14.846714
1/2/20 5:59 PM,26.13237,24.328442,0,14.142843,0,-30.934467
1/2/20 6:59 PM,26.260533,28.144794,0,14.93618,0,-30.546868
1/2/20 7:59 PM,26.228759,28.160512,0,12.266678,0,-19.437306
1/2/20 8:59 PM,26.17547,30.852931,0,14.49188,0,-18.262996
1/2/20 9:59 PM,26.161567,30.623394,0,14.620793,0,-12.031401
1/2/20 10:59 PM,26.124711,30.489689,0,12.106171,0,-6.389709
1/2/20 11:59 PM,26.074665,30.215878,0,14.833172,0,6.401406
1/3/20 12:59 AM,26.056951,29.985397,0,11.903448,0,14.001259
1/3/20 1:59 AM,26.022284,29.910946,0,14.649627,0,28.660226
